index,index_in_dataset,t_fgsm,t_dlfuzz,kl_fgsm,kl_dlfuzz,ws_fgsm,ws_dlfuzz,js_fgsm,js_dlfuzz,mse_fgsm,mse_dlfuzz
87,6725,0.005521059036254883,0.747727632522583,0.49888666657253017,0.7718831352677613,0.0009807702295637974,0.0013486238037782024,0.10922627721870806,0.21777592022141468,0.014204357394377556,0.02420800763449571
87,6725,0.005521059036254883,0.747727632522583,0.49888666657253017,0.7718831352677613,0.0009807702295637974,0.0013486238037782024,0.10922627721870806,0.21777592022141468,0.014204357394377556,0.02420800763449571
89,6825,0.0053174495697021484,0.7468314170837402,,1.0123497568549784,,0.0015947646229805556,,0.3321933986562057,,0.041220806025436436
90,7404,0.005916595458984375,0.7564241886138916,,0.8445452986265423,,0.0014280387994503514,,0.24590110259838074,,0.02668473708914954
91,1188,0.0057299137115478516,0.7533664703369141,,0.8263869166177609,,0.0013929755575752484,,0.24392114211860372,,0.03694742519367415
92,653,0.0055713653564453125,0.7536988258361816,,0.9210185526048,,0.001507857190394331,,0.28627869802159084,,0.03950244642138962
93,8100,0.006620168685913086,0.765770435333252,0.5403822449866942,1.0547445884955124,0.0010515066525392928,0.0016477603560175267,0.11690326828829639,0.34651423489170596,0.014246690860088253,0.043292772885143674
93,8100,0.006620168685913086,0.765770435333252,0.5403822449866942,1.0547445884955124,0.0010515066525392928,0.0016477603560175267,0.11690326828829639,0.34651423489170596,0.014246690860088253,0.043292772885143674
94,8817,0.005762577056884766,0.760483980178833,,0.9349358351111554,,0.0015253594589397098,,0.29884632941775974,,0.04018847601195956
96,5880,0.006356239318847656,0.7362949848175049,0.9101007873961521,1.5177772040377093,0.001511529745536758,0.001965711652490227,0.27555849896106954,0.5955118645473927,0.014064183062629956,0.03747146152343313
96,5880,0.006356239318847656,0.7362949848175049,0.9101007873961521,1.5177772040377093,0.001511529745536758,0.001965711652490227,0.27555849896106954,0.5955118645473927,0.014064183062629956,0.03747146152343313
98,284,0.005881786346435547,0.7376277446746826,,0.9825542930623945,,0.0015614650104603678,,0.3202708190930117,,0.046015940972897997
102,8366,0.005406379699707031,0.7379825115203857,,0.6493122949424543,,0.0012016500958259497,,0.180008583613479,,0.03840496369654791
103,6146,0.005699634552001953,1.3166227340698242,,0.4488626024832649,,0.0009216568080670876,,0.09882373527747002,,0.022926592362741107
104,2582,0.005606412887573242,0.7561542987823486,0.5122894419418595,0.8225289676894226,0.000989685676183061,0.0014094573765725264,0.11327113460221094,0.2392038889808117,0.01217494707552033,0.020867141615776734
104,2582,0.005606412887573242,0.7561542987823486,0.5122894419418595,0.8225289676894226,0.000989685676183061,0.0014094573765725264,0.11327113460221094,0.2392038889808117,0.01217494707552033,0.020867141615776734
106,7724,0.005531787872314453,0.7368485927581787,,0.6501374530855295,,0.0011989125721408858,,0.1696530307964644,,0.022544426224392754
107,1045,0.006034135818481445,0.7427430152893066,0.45044192397513017,0.8879132263785043,0.0009153759747983266,0.0014925506107638217,0.09207806854604147,0.2701447599648221,0.013161048515196686,0.037664438123146717
107,1045,0.006034135818481445,0.7427430152893066,0.45044192397513017,0.8879132263785043,0.0009153759747983266,0.0014925506107638217,0.09207806854604147,0.2701447599648221,0.013161048515196686,0.037664438123146717
108,5830,0.005883693695068359,0.7494513988494873,0.29997185702604795,0.5488158436937409,0.0006447398367634156,0.0010593351804231044,0.05009332151658262,0.12694970431219593,0.013200283717191136,0.026098952145905546
108,5830,0.005883693695068359,0.7494513988494873,0.29997185702604795,0.5488158436937409,0.0006447398367634156,0.0010593351804231044,0.05009332151658262,0.12694970431219593,0.013200283717191136,0.026098952145905546
109,2737,0.005664825439453125,0.7358813285827637,0.4144225487430029,0.8463588137324027,0.0008534280710440572,0.0014368239047750605,0.08564621594520473,0.2583379908912797,0.011822530213994329,0.03270249284545517
109,2737,0.005664825439453125,0.7358813285827637,0.4144225487430029,0.8463588137324027,0.0008534280710440572,0.0014368239047750605,0.08564621594520473,0.2583379908912797,0.011822530213994329,0.03270249284545517
111,277,0.005353212356567383,0.7421913146972656,,0.7104631877303754,,0.0012747073905005173,,0.18775122030262242,,0.05059347982495492
112,4551,0.0056705474853515625,0.768566370010376,0.6175162234212281,0.7733597373805063,0.0011309229553728066,0.001350879466932684,0.15084219801480975,0.2153863035501637,0.012593547092878922,0.01260002017975418
112,4551,0.0056705474853515625,0.768566370010376,0.6175162234212281,0.7733597373805063,0.0011309229553728066,0.001350879466932684,0.15084219801480975,0.2153863035501637,0.012593547092878922,0.01260002017975418
114,3843,0.006407737731933594,0.7523479461669922,,1.4280131737855286,,0.001896694812954396,,0.5496961933800022,,0.023588544353133355
115,5525,0.0058841705322265625,0.7775416374206543,0.5141209682720205,0.9986957013118578,0.0010042452000957292,0.0015930793623730973,0.11813715314863693,0.3315230820033175,0.014429530340288672,0.05478263236863669
115,5525,0.0058841705322265625,0.7775416374206543,0.5141209682720205,0.9986957013118578,0.0010042452000957292,0.0015930793623730973,0.11813715314863693,0.3315230820033175,0.014429530340288672,0.05478263236863669
116,7302,0.005907773971557617,0.7341358661651611,,0.5201014442491504,,0.0010211789929155776,,0.11580279903661642,,0.017863175892091784
117,3082,0.005734443664550781,0.7455589771270752,,1.0859236859420354,,0.0016594537584266851,,0.37493799588264476,,0.04859254472548681
118,8257,0.0057218074798583984,0.7541882991790771,0.49327280514550287,0.6763084404688182,0.0009731236622082816,0.0012394204129304305,0.10533039925563042,0.17444933946083313,0.014125375614912228,0.018097563180496563
118,8257,0.0057218074798583984,0.7541882991790771,0.49327280514550287,0.6763084404688182,0.0009731236622082816,0.0012394204129304305,0.10533039925563042,0.17444933946083313,0.014125375614912228,0.018097563180496563
119,7083,0.006462812423706055,1.405733346939087,,0.9876048074127426,,0.0015806344070825337,,0.31925581437653483,,0.034592265855600095
123,2661,0.0055696964263916016,0.7389261722564697,,1.4150593101789872,,0.001894410473940925,,0.5475406274626748,,0.03666806212261134
124,534,0.006521940231323242,0.7427961826324463,,0.9091242829730004,,0.001502103911018036,,0.2857473272583765,,0.0493745491671564
126,3008,0.0066759586334228516,0.7440619468688965,,0.9256817399856373,,0.001507508953955318,,0.2930307893947946,,0.0338893092649444
127,9974,0.005357027053833008,0.7468159198760986,0.678031261104471,1.0966095339205526,0.0012226575354542472,0.001668096393204855,0.17933214831344974,0.38054402983514446,0.014187128982738322,0.03556120204763853
