index,index_in_dataset,t_lava_vae_forward_gradient,t_lava_vae_bp_gradient,t_lava_vae_vanilla,t_lava_cae_forward_gradient,t_lava_cae_bp_gradient,t_lava_cae_vanilla,t_lava_cvae_forward_gradient,t_lava_cvae_bp_gradient,t_lava_cvae_vanilla,kl_lava_vae_forward_gradient,kl_lava_vae_bp_gradient,kl_lava_vae_vanilla,kl_lava_cae_forward_gradient,kl_lava_cae_bp_gradient,kl_lava_cae_vanilla,kl_lava_cvae_forward_gradient,kl_lava_cvae_bp_gradient,kl_lava_cvae_vanilla,ws_lava_vae_forward_gradient,ws_lava_vae_bp_gradient,ws_lava_vae_vanilla,ws_lava_cae_forward_gradient,ws_lava_cae_bp_gradient,ws_lava_cae_vanilla,ws_lava_cvae_forward_gradient,ws_lava_cvae_bp_gradient,ws_lava_cvae_vanilla,js_lava_vae_forward_gradient,js_lava_vae_bp_gradient,js_lava_vae_vanilla,js_lava_cae_forward_gradient,js_lava_cae_bp_gradient,js_lava_cae_vanilla,js_lava_cvae_forward_gradient,js_lava_cvae_bp_gradient,js_lava_cvae_vanilla,mse_lava_vae_forward_gradient,mse_lava_vae_bp_gradient,mse_lava_vae_vanilla,mse_lava_cae_forward_gradient,mse_lava_cae_bp_gradient,mse_lava_cae_vanilla,mse_lava_cvae_forward_gradient,mse_lava_cvae_bp_gradient,mse_lava_cvae_vanilla
88,3140,1.4741933345794678,0.5891778469085693,0.5806198120117188,2.291806221008301,0.6237258911132812,0.6181485652923584,0.4212167263031006,0.27176880836486816,0.6440813541412354,,,,,,,0.0,1.2632807292578578,,,,,,,,0.002309761574365662,0.00015827280454650284,,,,,,,,0.0,0.7724926167610757,,,,,,,,0.1290575053550832,0.06903887548734773,
90,7404,2.046072483062744,0.8212578296661377,0.601670503616333,1.8573248386383057,0.6202363967895508,0.7711985111236572,0.4237949848175049,0.3538169860839844,0.6772654056549072,,0.27159716137978546,,,,,0.0,1.1663964397402578,,,0.00023571581021500913,,,,,0.0022590354716315064,0.0003576736439913044,,,0.1517344758388185,,,,,0.0,0.6390659276401496,,,0.017954018231929804,,,,,0.10740172539604077,0.043855665581674176,
91,1188,1.484053373336792,0.6055445671081543,0.5942821502685547,1.9257748126983643,0.619304895401001,0.602123498916626,0.4167299270629883,0.2734191417694092,0.6465113162994385,,,,,,,0.0,1.5850232134571534,,,,,,,,0.0023106876517021667,0.0001377945923940099,,,,,,,,0.0,0.8725125182286463,,,,,,,,0.12455813698028231,0.08414536687780504,
93,8100,1.4534633159637451,0.5977616310119629,0.5874910354614258,1.8913745880126953,0.7058465480804443,0.9789755344390869,0.44064807891845703,0.28162240982055664,0.699392557144165,,,,,,,0.0,0.42991718976132975,,,,,,,,0.0022612350547172315,0.0003843561202581018,,,,,,,,0.0,0.19368744788151368,,,,,,,,0.11753772097074124,0.029613114789215404,
94,8817,1.439610481262207,0.589979887008667,0.5774326324462891,1.8781843185424805,0.6568171977996826,0.6783840656280518,0.43604040145874023,0.34749746322631836,0.6707613468170166,,,,,,,0.0,0.8270084459489184,,,,,,,,0.0022695537099727287,0.00047891076261609943,,,,,,,,0.0,0.45487060499124293,,,,,,,,0.11247314612119358,0.056008560752893725,
96,5880,1.4611058235168457,0.6061594486236572,0.5818264484405518,1.9189248085021973,0.6508965492248535,0.8456192016601562,0.48602795600891113,1.049367904663086,0.6910519599914551,,,,,,,0.0,2.5964125076143985,,,,,,,,0.002001546589995748,0.0012160849862772269,,,,,,,,0.0,1.2023174381129247,,,,,,,,0.06336497344035653,0.09327830512879154,
98,284,1.7159748077392578,0.7565920352935791,0.6399016380310059,2.2295873165130615,0.6882154941558838,0.7840311527252197,0.4636094570159912,1.026130199432373,0.7595479488372803,,,,,,,0.0,17.302471360372767,,,,,,,,0.0022566451838845225,0.00017300480434067356,,,,,,,,0.0,8.795331430978075,,,,,,,,0.10388371034688387,0.11182013117993765,
100,5080,1.7231557369232178,0.6972053050994873,0.7078170776367188,2.300741672515869,0.7852687835693359,0.7041187286376953,0.4699680805206299,0.43541836738586426,0.7984280586242676,,,,,,,0.0,1.3876878535033874,,,,,,,,0.0022751933800600633,0.0005181231999231314,,,,,,,,0.0,0.7146595817945443,,,,,,,,0.11056308798029017,0.07768413564732109,
101,2932,1.7082431316375732,0.6684134006500244,0.7203285694122314,2.787323474884033,0.6861722469329834,0.6487030982971191,0.47873520851135254,0.3643784523010254,0.7427928447723389,,,,,,,0.0,1.9067416960319479,,,,,,,,0.0022851317419820506,0.00024303166350722705,,,,,,,,0.0,1.1081650398690033,,,,,,,,0.11021190282176482,0.09500341635010638,
102,8366,1.761747121810913,0.7434728145599365,0.6277270317077637,2.0569121837615967,0.7504122257232666,0.6870696544647217,0.5598821640014648,0.4871225357055664,0.7497668266296387,,,,,,,0.0,1.033861322179791,,,,,,,,0.002389251509451883,0.00041806674912201,,,,,,,,0.0,0.547791693066444,,,,,,,,0.16785290011906553,0.07636112009795824,
103,6146,1.768575668334961,0.6644549369812012,0.6912000179290771,2.0386719703674316,0.7231645584106445,0.6338157653808594,2.179103374481201,0.2639944553375244,0.7067170143127441,0.7957343886258816,0.24260393514592768,0.22769568947934482,,,,,0.5511212918829347,,0.000980010975735334,0.0002999323660714929,0.00027358937743293763,,,,,0.00016018159544101663,,0.7269309164742392,0.13221368139147233,0.12770594377606254,,,,,0.32292637257732637,,0.15514123272782254,0.03418188780510994,0.03088385977366448,,,,,0.04905072217290706,
104,2582,0.5941059589385986,0.2704145908355713,0.2608177661895752,2.2470993995666504,0.6889233589172363,0.6485791206359863,0.4194021224975586,0.2771575450897217,1.0612869262695312,4.692428967185268,0.2744652855645431,0.27440851315493814,10.968383878174222,0.6543863260543821,,0.0,0.7335832403684296,,0.0004999994352866934,0.00028160167303291047,0.0002791338782257699,0.00020370826445723547,7.905253733626945e-05,,0.00223463995955602,0.00031451671278140853,,2.416027733100043,0.16590283215299068,0.16576970697381016,5.624647921043996,0.41988802021647453,,0.0,0.4371035407927745,,0.1147553329586577,0.01712622204752048,0.017127039021272966,0.09675276377916435,0.029974747590912953,,0.09625748338551106,0.04390162720079832,
105,7563,1.719942331314087,0.6155838966369629,0.6391899585723877,1.9462299346923828,0.6766955852508545,0.6784012317657471,0.48792433738708496,0.8107044696807861,0.6935851573944092,,,,,,,0.0,1.0309846832692668,,,,,,,,0.002202228764720956,0.00019995690436241725,,,,,,,,0.0,0.5256569423671728,,,,,,,,0.0933353733650323,0.03423032067955135,
106,7724,0.8826186656951904,0.2952096462249756,0.29419875144958496,2.127840518951416,0.680734395980835,0.7990186214447021,2.7762742042541504,0.8869884014129639,0.803452730178833,7.940966005941863,0.3850003526931774,0.32582406170704376,,,,,,,0.0007320153883036992,0.00024636862827966707,0.0002730751817079288,,,,,,,4.039608917837596,0.25860880444864776,0.21796206672233026,,,,,,,0.20012241968104716,0.03452626851693395,0.029777473872801937,,,,,,
107,1045,0.5350837707519531,0.2769632339477539,0.381101131439209,3.2548344135284424,0.5547528266906738,0.8377337455749512,0.47828197479248047,0.26917433738708496,0.8141570091247559,3.3978880596404446,0.20302286059694433,0.2693396431361112,0.40339647195841016,0.1610915736645686,0.13913423267005304,0.0,0.2698675714936566,,0.0003517354106957136,0.00013109227993339404,0.0001517086830730495,0.00023545552746310707,7.918831425688216e-05,8.007570132089884e-05,0.0022964811262213896,0.00027560339951591706,,1.7050036075914803,0.1257269171414081,0.16590539961722173,0.24080489025831228,0.08302688766141937,0.07397588627618325,0.0,0.12938732972316877,,0.1105848115190776,0.012519984670532922,0.015804984311719672,0.032422458378009514,0.010189568420268046,0.008905265618785314,0.12843458952208336,0.018251135932216642,
108,5830,1.6124191284179688,0.8983798027038574,0.8853549957275391,1.0336201190948486,0.36810779571533203,0.34879255294799805,0.4349513053894043,0.28700995445251465,0.6736502647399902,,,,21.801649249343217,0.5727061826836973,0.3703499978353645,-0.03601302281351923,0.5628726032439473,,,,,0.0007847747108138929,0.00011091035065149102,9.983685451761712e-05,0.002380849347435691,0.00014121045204685303,,,,,11.10818171586866,0.3699499887676943,0.25623307170199133,0.25321299797852537,0.31364137294046884,,,,,0.18326884218467446,0.04989891496485332,0.03910456500256116,0.17142996414251976,0.06296164923395982,
109,2737,1.5756568908691406,0.6022779941558838,0.6497385501861572,2.1414763927459717,0.6862869262695312,0.6499879360198975,0.45357227325439453,0.30135202407836914,0.7733578681945801,,,,,,,-0.013460501245479702,1.0112722978524067,,,,,,,,0.0022864168548443146,0.0002790573225868052,,,,,,,,0.42243240228163853,0.5718219453267963,,,,,,,,0.11385395334604431,0.06464307525812676,
